ShotID,Shooter,X (in),Y (in),Distance From Target,Notes,Accel X Max,Accel X Min,Accel Y Max,Accel Y Min,Accel Z Max,Accel Z Min,1 Sec Vol before shot x,1 Sec Vol before shot y,1 Sec Vol before shot z,Avg 1 sec Vol Before Shot,Data Direction X,Data Direction Y,Data Direction Z
A1,Rob,0.5,-4,4.0311288741,,7.796,-26.868,2.284,-30.617,23.592,-35.396,0.023,0.087,0.144,0.0846666667,Backwards,Up,Right
A2,Rob,0.75,-1.25,1.4577379737,,5.406,-22.477,21.088,-19.005,34.754,-91.866,0.009,0.102,0.072,0.061,Backwards,Down,Right
A3,Rob,1,-3.5,3.6400549446,,12.129,-23.401,4.118,-25.848,44.724,-36.157,0.018,0.106,0.066,0.0633333333,Backwards,Up,Left
A4,Rob,0,0,0,,16.477,-15.787,17.942,-86.024,44.647,-10.233,0.02,0.121,0.052,0.0643333333,Forward,Up,Left
A5,Rob,0,-0.5,0.5,,11.875,-20.743,5.909,-70.595,28.496,-28.328,0.034,0.079,0.101,0.0713333333,Backwards,Up,Left
A6,Rob,0.75,-2,2.1360009363,,13.297,-19.767,5.631,-59.218,30.593,-47.645,0.02,0.063,0.026,0.0363333333,Backwards,Up,Right
A7,Rob,-1,-2.25,2.4622144504,,13.748,-26.394,36.392,-26.336,57.025,-78.563,0.006,0.019,0.081,0.0353333333,Backwards,Down,Right
A8,Rob,1,-0.5,1.1180339887,,13.81,-28.625,33.169,-23.276,61.148,-77.764,0.014,0.112,0.055,0.0603333333,Backwards,Down,Right
A9,Rob,1,-3,3.1622776602,,34.39,-18.842,23.789,-43.258,53.841,-11.875,0.048,0.118,0.147,0.1043333333,Forward,Up,Left
B1,Rob,-3,-6.5,7.1589105316,,11.813,-38.154,2.926,-20.044,54.473,-57.365,0.018,0.08,0.349,0.149,Backwards,Up,Right
B2,Rob,-0.5,-4.5,4.5276925691,,9.136,-14.949,20.772,-96.592,59.965,-17.617,0.064,0.081,0.086,0.077,Backwards,Up,Left
B3,Rob,-1,-1,1.4142135624,,64.232,-20.628,25.201,-59.371,156.044,-17.669,0.015,0.153,0.088,0.0853333333,Forward,Up,Left
B4,Rob,-3,-5.5,6.2649820431,,47.635,-29.339,42.2,-11.918,24.876,-85.794,0.046,0.137,0.129,0.104,Forward,Down,Right
B5,Rob,-1,-1.5,1.8027756377,,102.817,-27.409,40.266,-16.889,95.969,-31.283,0.023,0.069,0.068,0.0533333333,Forward,Down,Left
C1,Rob,1,-4.25,4.3660622991,,44.92,-14.897,19.929,-37.584,130.13,-12.153,0.062,0.341,0.302,0.235,Forward,Up,Left
C2,Rob,-0.5,-3.5,3.5355339059,,16.113,-27.931,13.633,-16.065,67.066,-87.819,0.088,0.048,0.096,0.0773333333,Backwards,Up,Right
C3,Rob,-1.5,-2.25,2.7041634566,,18.239,-16.539,5.679,-46.448,30.387,-50.628,0.038,0.11,0.056,0.068,Forward,Up,Right
C4,Rob,-3,-8.5,9.0138781887,,4.827,-33.212,22.707,-20.293,39.327,-117.105,0.082,0.215,0.199,0.1653333333,Backwards,Down,Right
D1,Rob,-0.25,-7.5,7.5041655099,,6.086,-19.36,24.804,-93.278,44.307,-9.735,0.018,0.05,0.103,0.057,Backwards,Up,Left
D2,Rob,-1,-1.75,2.0155644371,,37.666,-35.75,37.359,-11.564,11.085,-127.52,0.022,0.083,0.477,0.194,Forward,Down,Right
D3,Rob,Missing,Missing,,,8.873,-35.573,9.213,-65.984,50.815,-36.09,0.042,0.083,0.249,0.1246666667,Backwards,Up,Left
D4,Rob,-0.5,-3,3.0413812651,,6.187,-36.741,4.372,-34.275,38.24,-92.225,0.037,0.192,0.139,0.1226666667,Backwards,Up,Right
D5,Rob,-3.5,-2,4.0311288741,,9.562,-30.627,6.934,-79.282,34.922,-3.912,0.023,0.085,0.122,0.0766666667,Backwards,Up,Left
D6,Rob,-2.5,-5.5,6.0415229868,,7.934,-42.823,21.49,-93.642,47.147,-18.493,0.051,0.06,0.099,0.07,Backwards,Up,Left
E1,Rob,-1.25,0.25,1.2747548784,"Unclear Which shot is what in the data - notes have 5, data shows 6 shots fired",,,,,,,,,,,,,
E2,Rob,-4.75,-2.75,5.4886246,,,,,,,,,,,,,,
E3,Rob,-4.5,-3.75,5.8576872569,,,,,,,,,,,,,,
E4,Rob,-5.25,-4,6.6001893912,,,,,,,,,,,,,,
E5,Rob,Missing,Missing,,,,,,,,,,,,,,,
E6,Rob,?,?,,"Should exist, but doesn't in notes",,,,,,,,,,,,,
F1,Pro,-0.25,-0.75,0.790569415,,45.121,-21.414,33.447,-38.25,17.899,-49.517,0.008,0.023,0.042,0.0243333333,Forward,Up,Right
F2,Pro,-0.5,-0.25,0.5590169944,,36.186,-27.342,30.708,-50.072,156.902,-39.753,0.005,0.032,0.021,0.0193333333,Forward,Up,Left
F3,Pro,-0.5,-0.75,0.9013878189,,17.415,-39.806,45.495,-67.895,23.262,-39.653,0.05,0.018,0.045,0.0376666667,Backwards,Up,Right
F4,Pro,-0.25,-0.25,0.3535533906,,32.599,-56.072,46.922,-87.561,19.417,-13.556,0.018,0.033,0.208,0.0863333333,Backwards,Up,Left
F5,Pro,-0.5,-0.5,0.7071067812,,1.748,-33.533,11.593,-31.829,14.791,-24.636,0.008,0.028,0.062,0.0326666667,Backwards,Up,Right
G1,Rob,-1.25,-6.5,6.6191011474,,30.153,-27.936,15.151,-35.382,25.359,-29.511,0.151,0.115,0.362,0.2093333333,Forward,Up,Right
G2,Rob,-1.75,-3.5,3.9131189606,,10.362,-29.755,34.51,-76.667,86.929,-12.206,0.02,0.061,0.109,0.0633333333,Backwards,Up,Left
G3,Rob,-3.25,-2.25,3.9528470752,,18.68,-18.086,26.212,-24.21,25.455,-35.798,0.042,0.092,0.204,0.1126666667,Forward,Down,Right
G4,Rob,0.25,-2,2.0155644371,,10.228,-28.213,30.44,-51.839,77.534,-11.219,0.084,0.028,0.101,0.071,Backwards,Up,Left
G5,Rob,-2.5,-4.25,4.9307707308,,23.837,-19.896,23.257,-16.999,14.825,-27.208,0.088,0.163,0.051,0.1006666667,Forward,Down,Right
H1,Houtan,Missing,Missing,,,15.979,-9.974,4.377,-38.441,62.446,-5.717,0.06,0.248,0.409,0.239,Forward,Up,Left
H2,Houtan,0.75,1.75,1.9039432765,,17.698,-10.3,8.729,-34.29,25.68,-24.43,0.028,0.078,0.107,0.071,Forward,Up,Left
H3,Houtan,5,-1.75,5.2974050251,,15.467,-10.151,7.116,-40.472,21.414,-14.447,0.038,0.217,0.182,0.1456666667,Forward,Up,Left
H4,Houtan,-0.5,1.25,1.3462912018,,9.811,-15.447,42.971,-35.654,62.086,-18.455,0.042,0.451,0.253,0.2486666667,Backwards,Down,Left
H5,Houtan,0,1.25,1.25,,14.121,-12.402,26.427,-39.911,49.45,-12.795,0.3,0.923,1.867,1.03,Forward,Up,Left
H6,Houtan,1.25,0.5,1.3462912018,,3.764,-14.806,16.812,-39.677,89.644,-5.899,0.053,0.125,0.221,0.133,Backwards,Up,Left
I1,Ken,0.25,-1,1.0307764064,,15.629,-13.388,14.423,-30.239,27.715,-53.937,0.014,0.063,0.14,0.0723333333,Forward,Up,Right
I2,Ken,Missing,Missing,,,15.467,-16.161,7.661,-30.842,16.884,-43.732,0.022,0.155,0.113,0.0966666667,Backwards,Up,Right
I3,Ken,0.25,3.5,3.5089172119,,15.897,-10.434,30.56,-26.322,69.073,-10.975,0.022,0.127,0.159,0.1026666667,Forward,Down,Left
I4,Ken,-0.25,0,0.25,,14.135,-11.665,7.556,-45.03,51.293,-6.665,0.019,0.122,0.16,0.1003333333,Forward,Up,Left
S1,Ken,-2.25,-0.5,2.3048861143,,9.697,-21.155,20.087,-32.331,151.586,-6.9,0.038,0.044,0.232,0.1046666667,Backwards,Up,Left
S2,Ken,0,-0.25,0.25,,18.909,-12.316,9.208,-50.364,29.468,-31.489,0.01,0.035,0.106,0.0503333333,Forward,Up,Right
S3,Ken,2.5,-3.25,4.1003048667,,16.994,-17.253,35.65,-36.536,11.334,-126.261,0.023,0.15,0.309,0.1606666667,Backwards,Up,Right
S4,Ken,0,-3.25,3.25,,17.593,-14.054,10.084,-36.172,31.014,-11.76,0.012,0.038,0.04,0.03,Forward,Up,Left
S5,Ken,0.75,-4.25,4.3156691254,,10.74,-15.4,13.906,-30.9,132.806,-8.72,0.026,0.16,0.39,0.192,Backwards,Up,Left
J1,Ken,0,-4,4,,18.177,-23.827,39.772,-42.382,33.054,-103.339,0.027,0.122,0.136,0.095,Backwards,Up,Right
J2,Ken,Missing,Missing,,,18.967,-17.664,17.976,-18.555,22.989,-82.068,0.016,0.071,0.079,0.0553333333,Forward,Up,Right
J3,Ken,-2.75,0.75,2.8504385627,,27.256,-21.6,5.047,-26.729,77.151,-11.243,0.016,0.166,0.07,0.084,Forward,Up,Left
J4,Ken,-0.25,-3.25,3.2596012026,,6.397,-18.996,8.523,-42.488,156.902,-10.491,0.021,0.024,0.101,0.0486666667,Backwards,Up,Left
J5,Ken,-3.75,-0.25,3.7583240946,,13.044,-13.556,21.193,-24.033,34.678,-146.089,0.008,0.041,0.055,0.0346666667,Backwards,Up,Right
K1,Ken,-2.25,-1.75,2.8504385627,,12.546,-17.286,6.091,-41.492,34.974,-91.219,0.006,0.059,0.09,0.0516666667,Backwards,Up,Right
K2,Ken,1,1.25,1.6007810594,,27.26,-19.767,52.62,-45.835,90.108,-103.406,0.022,0.061,0.284,0.1223333333,Forward,Down,Right
K3,Ken,0.5,0,0.5,,10.415,-12.656,5.186,-41.089,50.69,-88.983,0.038,0.117,0.405,0.1866666667,Backwards,Up,Right
K4,Ken,Missing,Missing,,,19.824,-12.019,5.488,-27.744,16.611,-11.037,0.059,0.082,0.327,0.156,Forward,Up,Left
K5,Ken,-4.25,-1.75,4.5961940777,,29.621,-22.869,9.036,-50.058,156.902,-10.027,0.041,0.087,0.488,0.2053333333,Forward,Up,Left
L1,Houtan,0,-1.25,1.25,,3.716,-16.453,5.895,-20.303,9.845,-13.704,0.012,0.055,0.058,0.0416666667,Backwards,Up,Right
L2,Houtan,0.5,-1,1.1180339887,,16.008,-14.614,44.489,-54.43,14.418,-21.093,0.011,0.065,0.055,0.0436666667,Forward,Up,Right
L3,Houtan,0.5,2.75,2.7950849719,,7.566,-11.717,38.168,-31.182,20.011,-5.904,0.019,0.16,0.193,0.124,Backwards,Down,Left
L4,Houtan,2.25,5,5.4829280499,,17.123,-12.823,33.346,-70.83,45.011,-5.516,0.027,0.501,0.53,0.3526666667,Forward,Up,Left
L5,Houtan,1,4.25,4.3660622991,,11.19,-16.281,14.432,-60.497,35.616,-103.755,0.016,0.241,0.191,0.1493333333,Backwards,Up,Right
M1,Pro,0,0,0,,25.187,-17.789,15.519,-52.514,67.564,-17.482,0.011,0.021,0.026,0.0193333333,Forward,Up,Left
M2,Pro,-0.5,-1,1.1180339887,,8.432,-14.662,14.71,-61.383,37.201,-56.288,0.004,0.029,0.027,0.02,Backwards,Up,Right
M3,Pro,0,0,0,,5.808,-12.933,-0.493,-55.191,20.001,-42.085,0.007,0.02,0.025,0.0173333333,Backwards,Up,Right
M4,Pro,-0.5,0,0.5,,27.256,-16.429,25.517,-48.799,29.645,-13.24,0.006,0.091,0.514,0.2036666667,Forward,Up,Left
M5,Pro,-0.75,-0.5,0.9013878189,,8.025,-25.211,30.038,-76.193,78.707,-30.358,0.007,0.035,0.095,0.0456666667,Backwards,Up,Left
N1,Rob,Missing,Missing,,"Unclear Which shot is what in the data - notes have 5, data shows 6 shots fired",,,,,,,,,,,,,
N2,Rob,-5.25,-4.75,7.0799011293,,,,,,,,,,,,,,
N3,Rob,-0.25,-3.5,3.5089172119,,,,,,,,,,,,,,
N4,Rob,-0.25,-5.5,5.5056788864,,,,,,,,,,,,,,
N5,Rob,-1,-3,3.1622776602,,,,,,,,,,,,,,
N6,Rob,?,?,,"Should exist, but doesn't in notes",,,,,,,,,,,,,
P1,Houtan,0.75,0.5,0.9013878189,,25.273,-15.974,38.633,-35.616,39.614,-5.722,0.016,0.17,0.066,0.084,Forward,Down,Left
P2,Houtan,1.75,0.5,1.8200274723,,10.29,-14.011,26.877,-46.471,41.338,-19.546,0.033,0.336,0.264,0.211,Backwards,Up,Left
P3,Houtan,-1.5,-0.25,1.5206906326,,16.214,-20.193,2.112,-39.6,15.457,-7.245,0.171,0.49,0.171,0.2773333333,Backwards,Up,Left
P4,Houtan,-0.25,-1.5,1.5206906326,,13.728,-23.861,19.877,-69.183,30.363,-31.647,0.015,0.148,0.115,0.0926666667,Backwards,Up,Right
Q1,Ken,-1.5,0,1.5,,29.837,-9.246,9.486,-16.123,90.673,-4.53,0.012,0.067,0.068,0.049,Forward,Up,Left
Q2,Ken,-1,-2,2.2360679775,,43.469,-20.609,4.209,-19.383,135.363,-13.077,0.018,0.052,0.059,0.043,Forward,Up,Left
Q3,Ken,-1.25,0,1.25,,38.092,-26.614,6.311,-39.107,138.318,-7.987,0.013,0.061,0.082,0.052,Forward,Up,Left
Q4,Ken,-1,0.25,1.0307764064,,30.947,-17.047,21.39,-45.509,41.851,-29.64,0.017,0.06,0.131,0.0693333333,Forward,Up,Left
Q5,Ken,-2.75,-2,3.4003676272,,25.292,-14.605,4.377,-25.651,36.837,-64.423,0.01,0.064,0.094,0.056,Forward,Up,Right
R1,Ken,2,-2.75,3.4003676272,,36.88,-12.842,14.097,-41.774,137.489,-1.595,0.036,0.038,0.044,0.0393333333,Forward,Up,Left
R2,Ken,-2.25,0,2.25,,11.803,-14.748,16.668,-32.848,33.174,-153.483,0.017,0.04,0.169,0.0753333333,Backwards,Up,Right
R3,Ken,-0.5,2.5,2.5495097568,,22.501,-10.86,3.021,-26.719,42.329,-33.481,0.026,0.11,0.064,0.0666666667,Forward,Up,Left
R4,Ken,Missing,Missing,,,12.1,-17.77,-0.038,-35.808,54.511,-53.252,0.029,0.037,0.415,0.1603333333,Backwards,Up,Left
R5,Ken,Missing,Missing,,,22.209,-23.099,2.413,-51.619,88.791,-2.653,0.007,0.046,0.214,0.089,Backwards,Up,Left
